Date,Open,High,Low,Close,Adj Close,Volume
1982-01-08,0.000000,12.000000,11.500000,11.500000,5.330666,1000
1982-01-11,0.000000,11.875000,11.625000,11.625000,5.388613,2000
1982-01-12,0.000000,11.875000,11.625000,11.625000,5.388613,3000
1982-01-13,0.000000,11.875000,11.625000,11.625000,5.388613,4000
1982-01-14,0.000000,11.875000,11.625000,11.625000,5.388613,1200
1982-01-15,0.000000,12.000000,11.750000,11.750000,5.446559,200
1982-01-18,0.000000,12.000000,11.750000,11.750000,5.446559,4200
1982-01-19,11.750000,11.750000,11.750000,11.750000,5.446559,0
1982-01-20,0.000000,12.000000,11.750000,11.750000,5.446559,3000
1982-01-21,0.000000,12.000000,11.750000,11.750000,5.446559,600
1982-01-22,0.000000,12.000000,11.750000,11.750000,5.446559,200
1982-01-25,0.000000,12.000000,11.625000,11.625000,5.388613,4200
1982-01-26,0.000000,12.000000,11.625000,11.625000,5.388613,26000
1982-01-27,0.000000,12.000000,11.625000,11.625000,5.388613,8200
1982-01-28,0.000000,11.875000,11.625000,11.625000,5.388613,600
1982-01-29,0.000000,11.875000,11.625000,11.625000,5.388613,2200
1982-02-01,0.000000,11.875000,11.625000,11.625000,5.388613,200
1982-02-02,0.000000,11.875000,11.625000,11.625000,5.388613,200
1982-02-03,0.000000,11.875000,11.625000,11.625000,5.388613,7400
1982-02-04,0.000000,12.000000,11.625000,11.625000,5.388613,10200
1982-02-05,0.000000,12.000000,11.625000,11.625000,5.388613,30000
1982-02-08,0.000000,11.875000,11.625000,11.625000,5.388613,200
1982-02-09,0.000000,11.875000,11.500000,11.500000,5.330666,2200
1982-02-10,0.000000,11.750000,11.500000,11.500000,5.330666,1200
1982-02-11,0.000000,11.750000,11.500000,11.500000,5.330666,200
1982-02-12,0.000000,11.750000,11.500000,11.500000,5.330666,4600
1982-02-16,0.000000,11.750000,11.500000,11.500000,5.330666,4200
1982-02-17,0.000000,11.750000,11.500000,11.500000,5.330666,2600
1982-02-18,0.000000,11.625000,11.375000,11.375000,5.272727,3600
1982-02-19,0.000000,11.750000,11.375000,11.375000,5.272727,1800
1982-02-22,0.000000,11.500000,11.250000,11.250000,5.214787,6400
1982-02-23,0.000000,11.500000,11.125000,11.125000,5.156845,6800
1982-02-24,0.000000,11.500000,11.125000,11.125000,5.156845,400
1982-02-25,0.000000,11.500000,11.125000,11.125000,5.156845,1600
1982-02-26,0.000000,11.625000,11.250000,11.250000,5.214787,4400
1982-03-01,0.000000,11.750000,11.250000,11.250000,5.214787,3600
1982-03-02,0.000000,12.000000,11.500000,11.500000,5.330666,3800
1982-03-03,11.500000,11.500000,11.500000,11.500000,5.330666,0
1982-03-04,0.000000,12.000000,11.500000,11.500000,5.330666,3800
1982-03-05,0.000000,12.000000,11.500000,11.500000,5.330666,400
1982-03-08,0.000000,12.000000,11.625000,11.625000,5.388613,6000
1982-03-09,0.000000,12.000000,11.625000,11.625000,5.388613,9000
1982-03-10,0.000000,12.000000,11.625000,11.625000,5.388613,400
1982-03-11,0.000000,12.000000,11.625000,11.625000,5.388613,1800
1982-03-12,0.000000,11.875000,11.500000,11.500000,5.330666,2800
1982-03-15,0.000000,11.875000,11.500000,11.500000,5.330666,8200
1982-03-16,0.000000,11.875000,11.500000,11.500000,5.330666,400
1982-03-17,0.000000,11.875000,11.500000,11.500000,5.330666,400
1982-03-18,0.000000,11.875000,11.500000,11.500000,5.330666,11200
1982-03-19,0.000000,11.875000,11.500000,11.500000,5.330666,200
1982-03-22,11.500000,11.500000,11.500000,11.500000,5.330666,0
1982-03-23,0.000000,12.000000,11.500000,11.500000,5.330666,1200
1982-03-24,0.000000,12.000000,11.625000,11.625000,5.388613,400
1982-03-25,11.625000,11.625000,11.625000,11.625000,5.388613,0
1982-03-26,0.000000,12.000000,11.625000,11.625000,5.388613,400
1982-03-29,0.000000,12.000000,11.625000,11.625000,5.388613,1200
1982-03-30,0.000000,12.125000,11.625000,11.625000,5.388613,1000
1982-03-31,0.000000,12.125000,11.625000,11.625000,5.388613,800
1982-04-01,0.000000,12.125000,11.625000,11.625000,5.388613,200
1982-04-02,0.000000,12.125000,11.625000,11.625000,5.388613,200
1982-04-05,0.000000,12.000000,11.625000,11.625000,5.388613,8000
1982-04-06,11.625000,11.625000,11.625000,11.625000,5.388613,0
1982-04-07,0.000000,12.125000,11.750000,11.750000,5.446559,6600
1982-04-08,11.750000,11.750000,11.750000,11.750000,5.446559,0
1982-04-12,11.750000,11.750000,11.750000,11.750000,5.446559,0
1982-04-13,11.750000,11.750000,11.750000,11.750000,5.446559,0
1982-04-14,0.000000,12.250000,11.875000,11.875000,5.504494,3200
1982-04-15,0.000000,12.375000,12.000000,12.000000,5.562439,4800
1982-04-16,0.000000,12.625000,12.250000,12.250000,5.678324,1600
1982-04-19,0.000000,12.750000,12.250000,12.250000,5.678324,7400
1982-04-20,0.000000,12.750000,12.250000,12.250000,5.678324,600
1982-04-21,0.000000,12.750000,12.250000,12.250000,5.678324,6800
1982-04-22,0.000000,12.750000,12.250000,12.250000,5.678324,1800
1982-04-23,0.000000,12.875000,12.625000,12.625000,5.852148,4800
1982-04-26,0.000000,13.125000,12.750000,12.750000,5.910093,2400
1982-04-27,0.000000,12.250000,12.000000,12.000000,5.562439,17000
1982-04-28,0.000000,12.250000,12.000000,12.000000,5.562439,13400
1982-04-29,0.000000,12.250000,11.875000,11.875000,5.504494,8400
1982-04-30,0.000000,12.250000,11.875000,11.875000,5.504494,400
1982-05-03,0.000000,12.250000,11.875000,11.875000,5.504494,600
1982-05-04,0.000000,12.125000,11.750000,11.750000,5.446559,15000
1982-05-05,0.000000,12.000000,11.750000,11.750000,5.446559,1200
1982-05-06,0.000000,12.125000,11.750000,11.750000,5.446559,4600
1982-05-07,0.000000,12.125000,11.750000,11.750000,5.446559,12200
